LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Tonk-Sawaimadhopur,Sawai Madhopur,Didwara (डिडवाडा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Donaycha (दोनायचा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Ebra (एबरा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Gambheera,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Jolanda,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Kahar Urph Badagaon (कहार ऊर्फ बडागांव),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Karel,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Khirni,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Kundli Nadi (कुंडली नदी),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Maksudanpura,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Malarna Chaur,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Malarna Doongar,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Neemod,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Peelwa Nadi (पीलवा नदी),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Phalsawata (फलसावटा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Sankra,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Sesha,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Shyamoli (श्यामोली),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Taranpur,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,1,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,2,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,3,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,4,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,5,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,6,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,7,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,8,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,9,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,10,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,11,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,12,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,13,Ward
